日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,2664,カワチ薬品,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2666,オートウェーブ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2667,イメージ　ワン,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2668,タビオ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2669,カネ美食品,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,266A,グローカルマーケティング,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2670,エービーシー・マート,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20260228,2673,夢みつけ隊,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2674,ハードオフコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,2676,高千穂交易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20260228,2678,アスクル,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,267A,トワライズ,PRO Market,7200,その他金融業,16,金融（除く銀行）,-,-
20260228,2681,ゲオホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2683,魚喜,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2685,アンドエスティＨＤ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2686,ジーフット,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,268A,リガク・ホールディングス,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20260228,2692,伊藤忠食品,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20260228,2693,ＹＫＴ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2694,焼肉坂井ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2695,くら寿司,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2698,キャンドゥ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,269A,Ｓａｐｅｅｔ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2700,木徳神糧,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2702,日本マクドナルドホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2705,大戸屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2708,久世,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,271A,アクセリア,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
