コード,銘柄名,市場・商品区分
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN
146A,コロンビア・ワークス,スタンダード（内国株式）
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN
1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ETF・ETN
147A,ソラコム,グロース（内国株式）
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN
1481,上場インデックスファンド日本経済貢献株,ETF・ETN
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN
1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN
1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ETF・ETN
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN
148A,ハッチ・ワーク,グロース（内国株式）
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN
1491,中外鉱業,スタンダード（内国株式）
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN
1495,上場インデックスファンドアジアリート,ETF・ETN
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN
149A,シンカ,グロース（内国株式）
150A,ＪＳＨ,グロース（内国株式）
1514,住石ホールディングス,スタンダード（内国株式）
1515,日鉄鉱業,プライム（内国株式）
1518,三井松島ホールディングス,プライム（内国株式）
151A,ダイブ,グロース（内国株式）
152A,オプティ,PRO Market
153A,カウリス,グロース（内国株式）
1540,純金上場信託（現物国内保管型）,ETF・ETN
1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN
1542,純銀上場信託（現物国内保管型）,ETF・ETN
1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ETF・ETN
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ETF・ETN
